State,Actual Total,Actual Homicide,LR Total Forecast,LR Homicide Forecast,AR Total Forecast,AR Homicide Forecast,Error_Linear_Total,Error_Lag_Total,Error_Linear_Homicide,Error_Lag_Homicide,Overall_MAE_Linear_Total,Overall_MAE_Lag_Total,Overall_MAE_Linear_Homicide,Overall_MAE_Lag_Homicide
Kansas,41605,86,36589.78571428568,104.03571428571377,40054.03537228393,105.69484756975666,5015.214285714319,1550.9646277160718,18.035714285713766,19.69484756975666,7225.542429792495,3675.684928363834,39.8635531135529,30.24147663749055
Kentucky,46936,247,50958.53571428545,334.57142857142753,46384.89918979121,263.32500390876874,4022.535714285448,551.1008102087872,87.57142857142753,16.325003908768736,7225.542429792495,3675.684928363834,39.8635531135529,30.24147663749055
Louisiana,14872,81,16107.46428571432,62.92857142857065,16394.64720339563,53.43871971261356,1235.4642857143208,1522.6472033956306,18.07142857142935,27.561280287386438,7225.542429792495,3675.684928363834,39.8635531135529,30.24147663749055
Maine,6854,14,4715.53571428571,6.678571428571445,5436.324890738225,7.085914337644937,2138.46428571429,1417.675109261775,7.321428571428555,6.914085662355063,7225.542429792495,3675.684928363834,39.8635531135529,30.24147663749055
Maryland,7583,50,6097.0,27.0,6641.694799705892,26.30639467456116,1486.0,941.3052002941076,23.0,23.69360532543884,7225.542429792495,3675.684928363834,39.8635531135529,30.24147663749055
Massachusetts,63770,122,59072.75,84.9285714285711,63508.42046576772,105.53249174582174,4697.25,261.57953423228173,37.071428571428896,16.467508254178256,7225.542429792495,3675.684928363834,39.8635531135529,30.24147663749055
Michigan,158443,619,153076.57142857136,598.1428571428551,162518.1766903489,623.1006243747155,5366.428571428638,4075.1766903488897,20.857142857144936,4.100624374715494,7225.542429792495,3675.684928363834,39.8635531135529,30.24147663749055
Minnesota,19106,86,5774.333333333489,16.0,6206.84842791308,14.115349235375264,13331.666666666511,12899.151572086921,70.0,71.88465076462474,7225.542429792495,3675.684928363834,39.8635531135529,30.24147663749055
Mississippi,10501,63,7048.607142857276,16.03571428571422,8706.990885083524,17.01114067485199,3452.392857142724,1794.0091149164764,46.96428571428578,45.98885932514801,7225.542429792495,3675.684928363834,39.8635531135529,30.24147663749055
Missouri,28658,209,23284.392857142724,173.10714285714494,26127.11234378894,176.52706810015684,5373.607142857276,2530.88765621106,35.892857142855064,32.47293189984316,7225.542429792495,3675.684928363834,39.8635531135529,30.24147663749055
Montana,12349,34,13247.821428571478,41.53571428571468,12633.473957728647,38.89001782461969,898.8214285714785,284.4739577286473,7.535714285714683,4.89001782461969,7225.542429792495,3675.684928363834,39.8635531135529,30.24147663749055
Nebraska,9838,17,9141.571428571362,11.821428571428442,11135.88612483858,19.790777850902494,696.428571428638,1297.8861248385801,5.1785714285715585,2.7907778509024936,7225.542429792495,3675.684928363834,39.8635531135529,30.24147663749055
New Hampshire,16052,44,15944.14285714284,19.821428571428584,17681.569393700433,31.757690083091784,107.85714285715949,1629.5693937004326,24.178571428571416,12.242309916908216,7225.542429792495,3675.684928363834,39.8635531135529,30.24147663749055
North Dakota,10521,25,10507.35714285716,24.67857142857156,10806.93689794782,32.68654905123093,13.642857142840512,285.9368979478204,0.3214285714284415,7.6865490512309265,7225.542429792495,3675.684928363834,39.8635531135529,30.24147663749055
Ohio,150976,500,143909.92857142864,607.3571428571449,149584.83768094206,515.1269895053664,7066.071428571362,1391.1623190579412,107.35714285714494,15.126989505366396,7225.542429792495,3675.684928363834,39.8635531135529,30.24147663749055
Oklahoma,32609,171,26751.46428571455,76.57142857142935,24749.01988893317,70.91856513255377,5857.535714285448,7859.98011106683,94.42857142857065,100.08143486744623,7225.542429792495,3675.684928363834,39.8635531135529,30.24147663749055
Oregon,38742,148,42148.10714285821,130.39285714285506,43574.70810802995,127.71132860156452,3406.107142858207,4832.708108029947,17.607142857144936,20.288671398435483,7225.542429792495,3675.684928363834,39.8635531135529,30.24147663749055
Pennsylvania,571,0,1298.4666666666744,3.0,991.8891148398122,2.114430642435384,727.4666666666744,420.88911483981224,3.0,2.114430642435384,7225.542429792495,3675.684928363834,39.8635531135529,30.24147663749055
Rhode Island,10412,26,10609.499999999984,21.89285714285711,11090.056594621674,21.91875377766252,197.49999999998363,678.0565946216739,4.10714285714289,4.08124622233748,7225.542429792495,3675.684928363834,39.8635531135529,30.24147663749055
South Carolina,98035,490,92172.03571428543,443.6428571428587,96496.1627800423,408.9609220803098,5862.964285714566,1538.8372199576988,46.3571428571413,81.03907791969021,7225.542429792495,3675.684928363834,39.8635531135529,30.24147663749055
South Dakota,12567,31,12112.25,28.03571428571422,12052.508935494365,23.70952402937868,454.75,514.4910645056352,2.9642857142857792,7.290475970621319,7225.542429792495,3675.684928363834,39.8635531135529,30.24147663749055
Tennessee,145891,567,147796.67857142864,582.4642857142826,145678.75418719667,532.6027676340987,1905.678571428638,212.24581280333223,15.464285714282596,34.397232365901345,7225.542429792495,3675.684928363834,39.8635531135529,30.24147663749055
Texas,261463,1005,112565.0714285709,441.6785714285797,213008.55759156952,696.9129802181427,148897.9285714291,48454.44240843048,563.3214285714203,308.0870197818573,7225.542429792495,3675.684928363834,39.8635531135529,30.24147663749055
Utah,31808,77,30711.32142857142,72.14285714285688,31903.550180948296,69.21455847700548,1096.6785714285797,95.55018094829575,4.857142857143117,7.7854415229945175,7225.542429792495,3675.684928363834,39.8635531135529,30.24147663749055
Vermont,4585,19,3427.107142857145,14.178571428571445,4671.875554592394,13.444908102351818,1157.892857142855,86.87555459239411,4.821428571428555,5.5550918976481825,7225.542429792495,3675.684928363834,39.8635531135529,30.24147663749055
Virginia,106000,483,101757.75,522.75,106583.58479889546,440.3220901496876,4242.25,583.5847988954629,39.75,42.6779098503124,7225.542429792495,3675.684928363834,39.8635531135529,30.24147663749055
Washington,83034,228,94597.89285714366,260.57142857142753,90489.32389253029,268.3999830930545,11563.892857143655,7455.323892530287,32.57142857142753,40.399983093054516,7225.542429792495,3675.684928363834,39.8635531135529,30.24147663749055
West Virginia,12816,84,14256.892857142724,79.96428571428578,12957.234759042609,63.22447386260954,1440.892857142724,141.23475904260886,4.035714285714221,20.775526137390457,7225.542429792495,3675.684928363834,39.8635531135529,30.24147663749055
Wisconsin,38985,230,34834.142857142724,216.32142857142756,37386.29880313038,190.40671514705312,4150.857142857276,1598.701196869617,13.67857142857244,39.59328485294688,7225.542429792495,3675.684928363834,39.8635531135529,30.24147663749055
